what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171423423
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171423450
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171423500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171441946
started,bundle,com.altera.debug.cdi.gdb.plugin,10.1.0.153,"com.altera.debug.cdi.gdb.plugin",1412171441955
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1412171441996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171442112
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171444241
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171449290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171452209
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1412171457189
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1412171501599
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171501606
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171504164
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1412171508688
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1412171511983
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1412171516030
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1412171517386
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1412171517402
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171527656
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171527690
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171535118
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1412171541444
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171549292
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171552629
