what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412171347900
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412171347900
java.vm.specification.version,sysinfo,,,"1.0",1412171347900
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1412171347900
java.vm.version,sysinfo,,,"14.0-b16",1412171347900
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171360653
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171360693
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171362147
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1412171362171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171373929
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171375305
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171376439
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171380609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171380704
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171382176
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171382225
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1412171385041
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171391386
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1412171398618
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1412171403484
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1412171406634
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1412171421580
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1412171423294
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1412171423366
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1412171423369
